rank,data_distribution,host_to_device,kernel_execution,device_to_host,data_collection,total_time
0,0.285199,0.001370,0.000281,0.001196,0.180534,0.468596
1,0.038919,0.001256,0.000341,0.001218,0.275070,0.316851
2,0.056808,0.003082,0.000343,0.001205,0.266223,0.327676
3,0.074517,0.003801,0.000336,0.001215,0.258611,0.338525
4,0.092316,0.003201,0.000340,0.001218,0.252262,0.349352
5,0.110174,0.003786,0.000336,0.001217,0.244650,0.360206
6,0.127952,0.004888,0.000338,0.001213,0.236598,0.371033
7,0.145494,0.003193,0.000334,0.001219,0.231597,0.381879
8,0.163344,0.002531,0.000337,0.001218,0.225276,0.392715
9,0.181000,0.001279,0.000341,0.001221,0.219707,0.403566
10,0.198551,0.001289,0.000341,0.001206,0.212988,0.414390
11,0.215634,0.001299,0.000339,0.001207,0.206717,0.425239
12,0.232921,0.002545,0.000337,0.001213,0.199045,0.436074
13,0.250086,0.003130,0.000338,0.001218,0.192110,0.446924
14,0.267661,0.001271,0.000338,0.001218,0.187250,0.457754
15,0.285172,0.002598,0.000336,0.001217,0.179237,0.468601
