rank,data_distribution,host_to_device,kernel_execution,device_to_host,data_collection,total_time,global_start,data_dist_start,data_dist_end,host_to_dev_start,host_to_dev_end,kernel_start,kernel_end,dev_to_host_start,dev_to_host_end,data_coll_start,data_coll_end,global_end
0,0.015796,0.001204,0.000023,0.000072,0.005702,0.022809,0.000013,0.000024,0.015820,0.015820,0.017024,0.017024,0.017047,0.017047,0.017119,0.017119,0.022821,0.022821
1,0.000951,0.001268,0.000084,0.000100,0.014755,0.017164,0.000015,0.000020,0.000971,0.000971,0.002239,0.002239,0.002323,0.002323,0.002424,0.002424,0.017179,0.017179
2,0.001822,0.000164,0.000089,0.000106,0.014999,0.017185,0.000011,0.000016,0.001838,0.001838,0.002002,0.002002,0.002092,0.002092,0.002198,0.002198,0.017197,0.017197
3,0.002697,0.000167,0.000087,0.000102,0.014142,0.017203,0.000011,0.000019,0.002715,0.002715,0.002882,0.002882,0.002969,0.002970,0.003072,0.003072,0.017214,0.017214
4,0.003322,0.000175,0.000089,0.000099,0.013529,0.017221,0.000011,0.000016,0.003338,0.003338,0.003514,0.003514,0.003603,0.003603,0.003702,0.003703,0.017232,0.017232
5,0.004155,0.001287,0.000088,0.000097,0.011603,0.017238,0.000011,0.000019,0.004174,0.004174,0.005461,0.005461,0.005549,0.005549,0.005645,0.005645,0.017249,0.017249
6,0.005010,0.001287,0.000085,0.000096,0.010772,0.017256,0.000006,0.000012,0.005023,0.005023,0.006309,0.006309,0.006394,0.006394,0.006490,0.006490,0.017263,0.017263
7,0.005850,0.000176,0.000088,0.000106,0.011045,0.017274,0.000008,0.000016,0.005866,0.005866,0.006043,0.006043,0.006131,0.006131,0.006237,0.006237,0.017281,0.017282
8,0.006710,0.001301,0.000092,0.000107,0.009071,0.017289,0.000011,0.000018,0.006728,0.006728,0.008029,0.008029,0.008121,0.008121,0.008228,0.008229,0.017300,0.017300
9,0.008024,0.002159,0.000093,0.000105,0.006920,0.017305,0.000011,0.000015,0.008039,0.008039,0.010198,0.010198,0.010291,0.010291,0.010396,0.010396,0.017316,0.017316
10,0.009354,0.001306,0.000086,0.000100,0.006472,0.017323,0.000006,0.000011,0.009365,0.009365,0.010671,0.010671,0.010757,0.010757,0.010857,0.010857,0.017329,0.017329
11,0.010433,0.007761,0.000085,0.000103,0.000093,0.018480,0.000008,0.000013,0.010446,0.010446,0.018207,0.018207,0.018292,0.018292,0.018395,0.018395,0.018488,0.018488
12,0.011800,0.001317,0.000088,0.000098,0.005189,0.018499,0.000008,0.000015,0.011815,0.011815,0.013132,0.013132,0.013220,0.013220,0.013318,0.013318,0.018507,0.018507
13,0.013153,0.001932,0.000090,0.000115,0.003224,0.018514,0.000008,0.000009,0.013161,0.013161,0.015093,0.015093,0.015183,0.015183,0.015299,0.015299,0.018522,0.018523
14,0.014465,0.001284,0.000088,0.000107,0.002580,0.018532,0.000001,0.000007,0.014473,0.014473,0.015757,0.015757,0.015845,0.015845,0.015953,0.015953,0.018533,0.018533
15,0.015801,0.006719,0.000092,0.000104,0.000089,0.022815,0.000004,0.000014,0.015815,0.015815,0.022534,0.022534,0.022626,0.022626,0.022730,0.022730,0.022819,0.022819
